random_state,classifier,best_params,best_score,f1_score,precision,recall
0,dummy,{},0.36363636363636365,0.2624358974358974,0.18181818181818182,0.5
0,lr,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.509090909090909,0.4606737053795878,0.4883333333333333,0.488095238095238
0,svc_linear,{'svc_linear__C': 10},0.4545454545454546,0.41293040293040295,0.4509126984126984,0.4284920634920635
0,svc_rbf,"{'svc_rbf__C': 10, 'svc_rbf__gamma': 0.01}",0.4909090909090909,0.45483516483516484,0.48880952380952375,0.46611111111111114
0,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__n_estimators': 50}",0.5636363636363637,0.5374203574203574,0.5477922077922077,0.6064285714285714
1,dummy,{},0.41818181818181815,0.29416666666666663,0.20909090909090908,0.5
1,lr,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.509090909090909,0.4866666666666667,0.5558333333333334,0.5157142857142858
1,svc_linear,{'svc_linear__C': 0.01},0.5272727272727272,0.44607142857142856,0.49795454545454537,0.5314285714285714
1,svc_rbf,"{'svc_rbf__C': 1, 'svc_rbf__gamma': 0.01}",0.5454545454545454,0.5133116883116883,0.5821428571428571,0.5614285714285714
1,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 10, 'rf__n_estimators': 50}",0.5818181818181818,0.5712509712509714,0.6204761904761904,0.6197619047619047
2,dummy,{},0.4,0.285,0.2,0.5
2,lr,"{'lr__C': 0.01, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.4909090909090909,0.32562091503267976,0.24545454545454545,0.5
2,svc_linear,{'svc_linear__C': 0.01},0.4545454545454545,0.3519871794871795,0.31878787878787873,0.47928571428571426
2,svc_rbf,"{'svc_rbf__C': 10, 'svc_rbf__gamma': 0.1}",0.509090909090909,0.5010567210567209,0.5286904761904762,0.5285714285714286
2,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 10}",0.5636363636363636,0.5438827838827839,0.5599999999999999,0.5654761904761905
3,dummy,{},0.4545454545454545,0.3125,0.22727272727272724,0.5
3,lr,"{'lr__C': 0.01, 'lr__penalty': 'l1', 'lr__solver': 'saga'}",0.509090909090909,0.33676470588235297,0.2545454545454545,0.5
3,svc_linear,{'svc_linear__C': 10},0.47272727272727266,0.4634498834498834,0.465,0.4666666666666666
3,svc_rbf,"{'svc_rbf__C': 0.01, 'svc_rbf__gamma': 0.1}",0.5454545454545455,0.480018315018315,0.48575036075036077,0.5700000000000001
3,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 10}",0.509090909090909,0.497008547008547,0.5167857142857143,0.5166666666666667
4,dummy,{},0.43636363636363634,0.30333333333333334,0.21818181818181817,0.5
4,lr,"{'lr__C': 0.01, 'lr__penalty': 'l2', 'lr__solver': 'saga'}",0.509090909090909,0.4790781440781441,0.5211111111111111,0.5152380952380952
4,svc_linear,{'svc_linear__C': 0.01},0.5272727272727272,0.4473809523809524,0.5130303030303031,0.53
4,svc_rbf,"{'svc_rbf__C': 0.01, 'svc_rbf__gamma': 0.01}",0.5272727272727272,0.46047619047619043,0.48219696969696973,0.5333333333333334
4,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.5636363636363637,0.5609090909090909,0.5666666666666667,0.5688095238095239
5,dummy,{},0.32727272727272727,0.23785714285714285,0.16363636363636364,0.5
5,lr,"{'lr__C': 100, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.6,0.5765201465201464,0.6152380952380951,0.6471428571428571
5,svc_linear,{'svc_linear__C': 100},0.6181818181818182,0.591965811965812,0.63,0.6614285714285714
5,svc_rbf,"{'svc_rbf__C': 100, 'svc_rbf__gamma': 0.01}",0.5636363636363636,0.5557881007881008,0.6218253968253968,0.634047619047619
5,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 10}",0.4909090909090909,0.4686019536019536,0.5639682539682539,0.5438095238095239
6,dummy,{},0.43636363636363634,0.30333333333333334,0.21818181818181817,0.5
6,lr,"{'lr__C': 1, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5454545454545455,0.5083422133422134,0.4878571428571429,0.5540476190476189
6,svc_linear,{'svc_linear__C': 0.01},0.5272727272727272,0.45392857142857146,0.466010101010101,0.5330952380952381
6,svc_rbf,"{'svc_rbf__C': 1, 'svc_rbf__gamma': 0.01}",0.5454545454545454,0.5095854145854146,0.5123015873015874,0.5514285714285714
6,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 50}",0.5636363636363637,0.5571173271173271,0.5717857142857143,0.5745238095238095
7,dummy,{},0.41818181818181815,0.29416666666666663,0.20909090909090908,0.5
7,lr,"{'lr__C': 0.01, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.4909090909090909,0.32669934640522874,0.24545454545454545,0.5
7,svc_linear,{'svc_linear__C': 0.01},0.4909090909090909,0.4225,0.4516414141414141,0.5235714285714286
7,svc_rbf,"{'svc_rbf__C': 1, 'svc_rbf__gamma': 0.01}",0.4909090909090909,0.43754273504273505,0.49861111111111106,0.5128571428571428
7,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 5, 'rf__n_estimators': 10}",0.6363636363636365,0.6323776223776224,0.6447619047619049,0.6426190476190476
8,dummy,{},0.41818181818181815,0.29416666666666663,0.20909090909090908,0.5
8,lr,"{'lr__C': 1, 'lr__penalty': 'l2', 'lr__solver': 'liblinear'}",0.5636363636363636,0.5488744588744588,0.5868650793650794,0.584047619047619
8,svc_linear,{'svc_linear__C': 1},0.5818181818181818,0.575982905982906,0.6201190476190476,0.6097619047619047
8,svc_rbf,"{'svc_rbf__C': 1, 'svc_rbf__gamma': 0.01}",0.5636363636363636,0.5383760683760684,0.5855555555555555,0.5783333333333334
8,rf,"{'rf__max_depth': 5, 'rf__min_samples_split': 2, 'rf__n_estimators': 10}",0.6363636363636364,0.629004329004329,0.6502380952380953,0.6485714285714286
9,dummy,{},0.34545454545454546,0.25195970695970693,0.17272727272727273,0.5
9,lr,"{'lr__C': 1, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.5636363636363636,0.5331221719457014,0.5896825396825397,0.5794047619047619
9,svc_linear,{'svc_linear__C': 100},0.5818181818181818,0.5576495726495726,0.6165079365079364,0.6176984126984126
9,svc_rbf,"{'svc_rbf__C': 10, 'svc_rbf__gamma': 0.1}",0.4909090909090909,0.4485939060939061,0.42458874458874457,0.5669047619047619
9,rf,"{'rf__max_depth': None, 'rf__min_samples_split': 2, 'rf__n_estimators': 100}",0.5818181818181818,0.5470562770562771,0.597936507936508,0.5563492063492064
